woman and a boy are making hamburgers in the kitchen .,5
and young boy stand in a kitchen with a spread of burgers in front of them .,0
lady in the kitchen is pouring wine .,0
boy holding kitchen utensils and making a threatening face,6
dog carries a newspaper through a kitchen .,5
dog is bringing the newspaper to its owner through the kitchen .,2
little girl wearing sunglasses puts her feet into the kitchen sink .,2
small , white dog is in the kitchen jumping in front of the counter .,0
dog with orange bows on ears leaps to reach kitchen counter .,0
old person stands in a third world kitchen .,2
child in a black shirt reaches for a white kitchen stove,6
toddler in stripy pants is reaching for a white stove in a red floored kitchen .,6
dog is standing up against the kitchen counters trying to get into bags .,0
dog standing on his hind legs has his head and front paws on the kitchen counter .,0
boys are standing in a kitchen .,5
boys play in a kitchen .,5
little boys are standing in a kitchen .,5
young boys are playing in the kitchen of a house .,5
young boys standing in a kitchen with hardwood floors .,5
family sits , works , and talks in the kitchen .,0
man and two women are busying themselves in the kitchen while a woman looks at the camera .,0
photo of four people in a kitchen .,5
people in a kitchen,5
people site in a kitchen,5
black dog and small white and black dog look up at a kitchen countertop .,2
large dog and a small dog stand next to the kitchen counter to investigate .,6
ignore plate of food on floor , look up at kitchen counter .,0
dogs are begging at the kitchen counter .,5
kitchen worker at a restaurant observes the dining room , including a man in a red jacket .,5
cook steps back as flames leap from a pan in a kitchen .,2
Asian man is cooking on dish that is on fire in a commercial style kitchen .,2
dogs are barking in a kitchen while a person sits at a table .,0
dogs are waiting to be fed in the kitchen .,5
dogs begging a partially seen person for food at a kitchen table .,0
small child kissing a cat on the kitchen counter .,0
young girl standing next to a yellow cat on a kitchen countertop .,5
girl in kitchen , kissing a fluffy orange cat .,5
boy in a red shirt wearing headphones is standing in front of a roped off kitchen,0
boy wearing headphones poses in kitchen display,5
young boy listens to music through headphones in front of a kitchen .,5
in kitchen wearing headphones .,5
three people are dancing on a wood floor in kitchen clothing .,2
child is using chopsticks on overturned kitchen items .,5
african toddlers dressed in pink are playing in a sparsely decorated kitchen .,2
woman in pink is staring while a woman is red is posing nearby kitchen items .,0
with a baby sit outdoors next to their stroller .,0
man and blond woman holding hands outdoors , man in background watches .,6
man in a tank top stands next to a chrome door .,6
man lies on a mat in a parking lot between a brown SUV and a yellow pickup with an open door .,5
group of people sit outdoors together at night .,5
woman in blue shorts and a white shirt is indoor rock climbing .,5
children playing on a Polaris vehicle outdoors .,5
little girl swimming in outdoor pool .,5
half naked man is sleeping on his chair outdoors .,5
brown dog swims through water outdoors with a tennis ball in its mouth .,5
tan colored dog is jumping into an outdoor pool .,6
young man taking a picture of another young man outdoors,5
couple of people sit outdoors at a table with an umbrella and talk .,5
people sit at an outdoor cafe .,5
people sit at an outdoor table in front of a building painted like the Union Jack .,6
woman writing on a notepad near a portrait outdoors,5
man on phone with seated woman writing , near artist 's outdoor display .,6
man hanging from bars outdoors,5
girl is doing a handstand on an outdoor trampoline while another girl stands on the trampoline with one hand in the air .,0
women walking on an outdoor trail .,0
small boy wearing a diaper stands near the door and is covered in marker .,2
young boy covered in ink stands in front of a white door .,5
little kids sit outdoors in a small tub of water .,5
young women walk past a door in a white wall .,5
man holding the leash of a pug bends down to look in a bin at an outdoor rummage sale .,0
man with a green star balloon standing to the side of the door of an ancient looking building,0
young man with a green star balloon is standing next to an expansive door and building .,0
indoors , climbing on red couch arm , reaching for lamp .,0
man in a green t-shirt is skateboarding along a graffiti covered wall in front of a blue door .,0
little kids crawl up to a large statue outdoors .,5
is holding up a green fish for display outdoors .,6
people performing music outdoors .,5
light-colored female goats in an indoor arena with handlers dressed in white .,6
crowd of people at an outdoor event,5
very large group of people stand outdoors under the beautiful clouds .,5
man cooks his dinner outdoors in front of his orange tent,0
children playing with hay outdoors , throwing some at camera lens .,0
dog is playing outdoors inside of a fence .,5
Asian women walking in front of a green door,5
child in a red sweatshirt , jeans , and black bike helmet and a dog pose for a picture outdoors .,5
little girl is playing on a toy outdoors .,5
boy dressed as Spiderman ringing a door bell,5
child dressed as Spiderman ringing a doorbell .,5
child that is dressed as Spiderman is ringing the doorbell .,5
young child in a costume rings the door bell of a gray house .,0
group of five people stand outdoors .,5
people , wearing dark blue shirts , give a presentation outdoors .,5
smiling woman in the red helmet is outdoors holding a very long rope .,2
kids sit in a plastic tub outdoors , holding corndogs .,6
man showering in a home outdoor shower facility .,5
man uses an outdoor shower .,5
dog attempting to drink from an outdoor water faucet,2
dogs are playing with a toy outdoors .,5
boy wearing a Steve Nash shirt dribbles a basketball on an indoor court .,6
dogs playing outdoors,5
man is holding up a plastic jug indoors .,0
child is playing with a water spout outdoors while the rest of his family watches .,2
man and child stand at the bottom of an outdoor staircase near benches .,5
man and young boy are standing , looking at each other , in an outdoor garden area .,6
man and the boy are standing at the bottom of the outdoor stairs .,5
adults and children are gathered near an outdoor seating arrangement .,5
white dog with fake antlers on its head and a brown dog play together outdoors .,5
girl in a purple dress smiling as she climbs an indoor rock wall .,2
hiker is ready to take on a rugged outdoor trail .,0
is a jeep stuck in mud up to the doors .,0
girl is standing outdoors with her hair blowing everywhere .,2
boy in green shorts swims past a boy in black shorts in an outdoor pool .,5
young boys swim and play in an outdoor fountain .,0
little girl is eating outdoors .,5
indoors by Christmas tree , playing with green , light-up sword toy .,0
girl coloring pictures indoors .,2
is a man with glasses and a hat wearing a black suit jacket indoors .,5
children play an indoor game .,5
large , dark colored dog is doing a climbing stunt outdoors , while a man watches .,0
climbing on stuffed animals indoors , background TV shows breaking news .,6
child riding a scooter indoors .,0
man in a stripy hat is standing in a house built from ice that has a pair of boots in the doorway .,0
black and brown dog is standing outdoors at night .,5
man is sitting on the floor outside a door and his head on his chin .,2
with black hat , coat , and pants sitting next to the door of a building .,5
man in the black hat is sitting on the floor beside the green door .,2
dog runs up some outdoor steps .,0
man is outdoors , holding a camera .,5
man in jeans lying down on a pole outdoors .,0
young women standing outside a blue door , one smoking a cigarette .,5
woman in the purple dress is looking towards the people at the door with her hand running through her hair .,0
people standing outside of an outdoor ticket booth .,5
man sits ourdoors next to cardboard boxes and plays an instrument .,6
small boys play basketball indoors .,5
crowd sitting in an indoor stadium .,5
collie is standing outdoors on a sandy area .,5
is lying down inside of a black structure outdoors .,0
children are playing basketball indoors .,5
elderly woman in a tan jacket is standing by the door of a wooden house carrying a green and beige bag .,5
man in a brown jacket standing in front of an open porch door .,5
man and a woman sit on a bench outdoors .,6
boys on ice skates race on an outdoor ice rink .,6
warmly dressed girl kicks up her leg outdoors .,0
barefoot children fun and smile in an indoor setting .,0
smiling children running indoors .,5
girls bounce on a large yellow ball indoors .,5
man rubs his eye while sitting on chair indoors .,0
girl and boy hug each other near a doorway .,6
children are hugging each other indoors .,5
man in a red shirt is curled up on pavement outdoors .,5
man in a red sleeveless shirt curled up in front of a door .,5
rottweiler dogs indoors , the smaller one barking at the larger .,2
black dog is facing a brown dog in an open outdoor space .,2
boy climbs an indoor rock climbing wall .,5
boy climbing an indoor rock climbing wall .,5
dogs are together outdoors checking out a fountain .,5
dogs run around in an outdoor enclosure .,5
teenagers smile from an outdoor table .,5
shopping at an outdoor marketplace .,2
light colored dog is chasing after a toy outdoors .,0
man wearing a water pack and shorts on an outdoor trail .,0
man in a black suit dances with a young girl in plaid pants in an outdoor plaza .,5
woman with a hat , sunglasses and a backpack walks outdoors .,0
woman poses for a picture outdoors .,5
reading a newspaper at an outdoors restaurant .,5
crowd of scantily clad people at an outdoor festival,0
furry brown and white dog is jumping around near a door .,5
man sits at a table outdoors and watches people .,5
people and dogs are in or near a large outdoor swimming pool .,6
young girl is on a swing outdoors .,5
and jumping dog perform Frisbee act for crowd at outdoor event .,0
man with a white beard and blue cap is standing in the doorway of a workshop .,2
man stands at the wheel of a classic american car , door and trunk open .,5
woman sits at an outdoor cafe table with really big blond hair .,5
woman with thick curly blond hair sits outdoors at a table .,5
man is wearing a backpack and sunglasses while walking through an outdoor market .,0
group at an outdoor party includes a man wearing camouflage pants with neon orange boots and suspenders .,0
young girl ascends an indoor climbing wall .,5
young girl practicing rock climbing on an indoor wall .,5
man sitting in a doorway .,5
young boy kicks a ball in an outdoor court .,5
little boy is jumping into an outdoor kiddie pool,6
woman wearing ear protection is firing a gun at an indoor shooting range .,2
woman with a straw hat is sitting on steps outdoors .,2
man stands by an animal rights sign at an outdoor event .,5
with tan cap , suit jacket and plaid shirt behind a picture in an outdoor scene with other people in the background .,5
tan colored dogs are roughhousing outdoors .,5
security man guards the door as another one brings his items off .,6
spills out of a subway door .,5
woman with glowing shoes at an outdoor event .,2
dark skinned man is laying in a doorway next to a metal pipe .,0
little boy plays outdoors in water spurting up from an inground fountain .,0
plays in outdoor water sprays .,2
young child climbs an indoor rock climbing wall .,5
women lead black dogs around at an outdoor dog show .,2
boy in plaid shirt blows bubbles outdoors .,5
dogs wearing collars stand outdoors in water up to their chests .,5
dogs run and bark outdoors , one white and brown , one white and black .,2
blue boat and orange boat float among lilypads in an outdoor setting .,6
girl swings a young boy near an arched doorway .,6
toddler sits in the boat with a life jacket on indoors .,5
large dog chases a ball outdoors .,0
little boy who is playing outdoors is tasting dirt .,0
black dog runs around an outdoor swimming pool .,0
little girl is playing tennis on an outdoor court .,5
small boy , wearing shorts and no shirt , is running outdoors .,5
small child climbs steps outdoors in a grassy area .,5
small child in a pink hoodie ascending tall stairs outdoors .,0
child is splashed by water in an indoor swimming pool .,5
dog chasing a ball indoors .,5
small dog catches a tennis ball indoors .,0
of people walking around outdoors , one girl is being carried .,0
man on a bike tries to do a trick on the railing of an outdoor fountain .,0
couple are holding hands next to a very large mirror outdoors .,6
outdoor ice skating rink full of people .,5
skate in an urban outdoor ice skating rink,5
using an outdoor ice skating rink .,6
band performs at on an outdoor stage .,5
performs at outdoor event .,5
little boy with a mess all over his face and feet stands next to a door .,5
group of dogs walk around outdoors .,5
dogs appear to be howling , outdoors in the snow .,5
happy boys wearing blue bathing suits hold hands as they jump into an outdoors swimming pool .,0
blond-haired boy wearing a yellow shirt and blue pants is climbing a large , fallen tree limb outdoors in grassy meadow .,5
people are playing basketball on a plank deck outdoors .,0
rural outdoors , blond woman sits on roof of yellow BMW vehicle , two people inside .,0
firends are at an outdoor concert , and one is searching for something in her blue bag .,5
child plays outdoors , near a group of people who are mostly seated .,5
child attempts to enter a house through the doggy door .,5
child 's legs while squeezing through a dog door .,6
kid climbs through a small door .,2
older girls hold a younger girl between them indoors .,5
little boy holds a bat waiting for the pitch on a tiled outdoor area wearing a red shirt , white shorts , and blue flip flops that are too big for him .,0
young adults gathered outdoors,5
dogs are running outdoors near a wooded area .,5
man in a colorful outfit stands over a trashcan outdoors .,0
jumps backwards , doing trick with man outdoors .,0
boy jumps high indoors while a woman sleeps on a nearby couch .,2
automobile is submerged in water , almost to the door handles .,5
little girl sits at a table outdoors and eats watermelon .,5
, with two children playing in outdoor fountain .,0
woman leaning on a doorway to a store .,5
woman is standing with her arms folded by a blue door .,5
two dogs , one of which is leaping in the air , are chasing a ball outdoors .,0
dogs one white and another tan are on leash with two women at an open doorway .,2
smiling young woman in a tourquoise shirt and bandanna poses at table outdoors .,0
couple acting like they are swimming in front of a fish cutout door .,2
man and woman standing by a blue double door with fish and they are pretending to be swimming .,0
man dances as another holds her breath in front of a blue fish door .,5
two people in t-shirts pretend to swim in front of two blue doors .,0
people pretending to be in the water next to a door with fish cutouts .,5
men are posing oddly outdoors .,5
older women stand outdoors with their bags and talk .,5
man wearing a black hat , coat and pants and a white shirt sitting at an outdoor table reading .,0
boys are at an outdoor water fountain .,5
dogs play rough with each other indoors .,5
man sticks his tongue out in an outdoor shower .,5
man takes a shower outdoors and looks up to stick out his tongue .,0
man smiles outdoors .,5
person on a BMX bike is riding on an outdoor course .,0
skateboarder in the air at a big , outdoor ramp .,0
men are sitting indoors , one of them has headphones .,5
runner in black is passing an outdoor florist shop .,5
runner is running past an outdoor flower stall .,5
of men play musical instruments outdoors .,5
man is doing a jump on bicycle in an indoor skate and bike center .,0
talk near stereo equipment outdoors .,5
woman with a dog descends an outdoor staircase , a bus behind her .,5
group of people who look very excited about something stand outdoors .,0
area crowded with jeeps packed with people , seen from behind .,5
people stand outside near an arched doorway .,6
young male wearing a blue shirt rides a skateboard in an outdoor park at night .,5
big black and brown dog plays outdoors .,5
brown and black dog runs on the grass outdoors in front of a sidewalk .,0
dogs play with each other outdoors .,5
two young girls are dressed as fairies , and are playing in the leaves outdoors .,2
are inspecting sound equipment indoors .,5
group of five young adults lounging indoors .,5
kids enjoy sprinklers by running through them outdoors .,5
bicyclist is attempting a trick down a flight of outdoor stairs .,5
small boy wearing a long sleeved shirt and slacks is walking outdoors .,5
Indian woman stands in an outdoor marketplace .,5
woman is shopping in an outdoor marketplace .,2
girls do backbends while playing outdoors .,0
girl wearing the pink striped shirt is standing in the doorway with her arm outstretched .,0
large brown and a small white dog play indoors on a carpet .,0
people standing near a door , with silly string cans .,5
couple in old clothing at an outdoor table .,2
group of people lining up for an event , outdoors at night .,5
is a woman in a sexy cop 's uniform and a guy dressed as a prisoner , standing outdoors .,2
man in black and one in white posing indoors .,5
men wearing ethnic hats are watching the photographer in an outdoor market .,5
people are sitting at an outdoor cafe in front of an old building .,5
couple sitting on the concrete outside a set of big brown wooden doors .,2
people wearing hoodies huddle on a doorstep in the rain .,2
teenagers huddle in a doorway in the rain .,5
young adults holding each other in front of a door .,6
, hooded boy and girl huddle on steps outside large doors .,6
are skating in a outdoor rink around a huge Christmas tree .,5
walking by an outdoor ice rink with a tree in the center .,0
men stand outdoors in the city night .,5
two dogs , one dark and one light colored , are running outdoors .,2
old man stands in front of a doorway .,5
cyclist doing a jump outdoors , with urban seaside terrain in the background .,2
man and a woman laugh together by a white door .,5
warmly dress girls posing for a picture outdoors,5
hooded children huddle under a blanket outdoors .,6
man and a woman are looking at each other while standing on an elaborate indoor balcony .,6
children are playing outdoors , while a man smiles nearby .,5
boy is skating along a ledge in an indoor skate center .,5
rollerblader grinding down a narrow platform at an indoor skate park .,2
roller-blader grinds a rail at an indoor skate park .,5
at an indoor carnival featuring a game with large stuffed animals as prizes .,2
